admin1_pcode,admin3_pcode,state,township,total_pop,idps,pop_minus_idps,food_secure,marginally_food_secure,moderately_food_insecure,severely_food_insecure,food_insecure_moderately_severely,moderate_food_insecure_number,severely_food_insecure_number,moderately_severely,pin_2022,total_pin2,target_2022,pc_vul,pin_2021,target_2021,hrp_target_idps_2021,hrp_target_returnees_2021,hrp_target_stateless_rakhine_2021,hrp_target_other_vulnerable_2021,hrp_target_total,hrp_version,pin_new,target_new
MMR012,MMR012004,Rakhine,Kyauktaw,179196.62400930474,15095,164101.62400930474,0.021,0.58,0.346,0.054,0.4,56779.16190721944,8861.487696502456,65640.64960372189,80736,80735.64960372189,40000,0.4505422468200613,66700.12970603122,52231,11100,0,38290,2841,52231,hrp,80736,40000
MMR012,MMR012009,Rakhine,Maungdaw,42221.457598032895,0,42221.457598032895,0.021,0.58,0.346,0.054,0.4,14608.62432891938,2279.958710293776,16888.583039213157,16889,16888.583039213157,16889,0.39999999999999997,97600,71360,0,0,51800,19560,71360,hrp,16889,16889
MMR012,MMR012005,Rakhine,Minbya,175167.54682476277,2922,172245.54682476277,0.021,0.58,0.346,0.054,0.4,59596.959201367914,9301.25952853719,68898.2187299051,71820,71820.2187299051,50000,0.41000870327740496,33345.54041597296,24875,3411,0,18480,2984,24875,hrp,71820,50000
MMR012,MMR012003,Rakhine,Mrauk-U,196308.81462093847,22743,173565.81462093847,0.021,0.58,0.346,0.054,0.4,60053.77185884471,9372.553989530677,69426.32584837539,92169,92169.32584837539,50000,0.4695119066678146,43487.59288340755,33568.61501838529,16211,0,14784,2573.615018385286,33568.61501838529,hrp,92169,50000
MMR012,MMR012012,Rakhine,Munaung,58972.356344968524,0,58972.356344968524,0.021,0.58,0.346,0.054,0.4,20404.435295359108,3184.5072426283004,23588.94253798741,23589,14000,0,0.39999999999999997,0,0,0,0,0,0,0,NA,23589,0
MMR012,MMR012006,Rakhine,Myebon,142024.9707551043,6579,135445.9707551043,0.021,0.58,0.346,0.054,0.4,46864.30588126608,7314.082420775632,54178.38830204171,60757,36000,0,0.427793704015659,6470,6470,6470,0,0,0,6470,hrp,60757,0
MMR012,MMR012007,Rakhine,Pauktaw,151097.64096202247,24429,126668.64096202247,0.021,0.58,0.346,0.054,0.4,43827.34977285977,6840.106611949213,50667.45638480899,75096,50000,0,0.4970061471951376,34902,28162,19202,0,8960,0,28162,hrp,75096,0
MMR012,MMR012002,Rakhine,Ponnagyun,134322.93214950498,2889,131433.93214950498,0.021,0.58,0.346,0.054,0.4,45476.14052372872,7097.432336073269,52573.572859801985,55463,37000,0,0.4129047212732869,3125,3125,3125,0,0,0,3125,hrp,55463,0
MMR012,MMR012013,Rakhine,Ramree,101338.74477697774,0,101338.74477697774,0.021,0.58,0.346,0.054,0.4,35063.20569283429,5472.292217956798,40535.49791079109,40535,26000,0,0.39999999999999997,0,0,0,0,0,0,0,NA,40535,0
MMR012,MMR012008,Rakhine,Rathedaung,115917.75145475383,19553,96364.75145475383,0.021,0.58,0.346,0.054,0.4,33342.20400334482,5203.696578556707,38545.90058190153,58099,58098.90058190153,10000,0.5012079673110228,29529,10453,4105,0,3100,3248,10453,hrp,58099,10000
MMR012,MMR012001,Rakhine,Sittwe,153108.0386733227,112456,40652.038673322706,0.021,0.58,0.346,0.054,0.4,14065.605380969655,2195.210088359426,16260.815469329082,128717,128716.81546932909,80000,0.8406927329528681,152558.9334272645,127749.75339908515,93317,0,32400,2032.7533990851464,127749.75339908515,hrp,128717,80000
MMR012,MMR012015,Rakhine,Thandwe,138185.3388749741,0,138185.3388749741,0.021,0.58,0.346,0.054,0.4,47812.12725074104,7462.008299248602,55274.135549989645,55274,36000,0,0.4,0,0,0,0,0,0,0,NA,55274,0
MMR012,MMR012016,Rakhine,Toungup,163917.80844747147,0,163917.80844747147,0.021,0.58,0.346,0.054,0.4,56715.56172282512,8851.56165616346,65567.12337898859,65567,44000,0,0.4,0,0,0,0,0,0,0,NA,65567,0
